ADM2_CODE;ADM2_NAME;ADM1_CODE;ADM1_NAME;ADM0_CODE;ADM0_NAME;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence
BJ0101;Banikorara;BJ01;Alibori;BJ;Benin;18;Baatonum;0,695264948;0;0,000760831;0;0;0;0;0,695264948;0;0,00085034;0;0;0,231471536;0;0;0,000537057;0,013247404;0;0;0;0,001297888;0;0;0,004654493;0,006892231;0;0;0,002327247;0;0;0,008861439;0;0,002372002;0;0;0,004923022;0;0,000626566;0;0;0;0;0;0;0;0;0;0;0;0;0,000537057;0;0;0;0,002148228;0;0;0;0;0;0;0;0;0;0;0;0;0,003625134;0,015619405;0,0039831693;249960;124970;124990;0,241106512;0,280375805;0,202413147;Yes;High
BJ0102;Gogounou;BJ01;Alibori;BJ;Benin;21;Baatonum;0,500235516;0;0,001036269;0;0;0;0;0,500235516;0;0;0,006688648;0,002260951;0,423268959;0;0;0;0,00612341;0;0;0;0,001130476;0;0;0;0,003956665;0,000565238;0;0,00433349;0,000659444;0;0,002731983;0;0,004050871;0;0,00075365;0,001130476;0;0,001318888;0;0;0,001224682;0;0;0;0;0;0;0;0;0;0;0;0;0;0,007253886;0;0;0;0;0,005558172;0;0;0;0;0;0;0;0,000847857;0,021761658;0,0031088113;119010;58520;60490;0,226632379;0,2398087;0,213924885;Yes;High
BJ0103;Kandi;BJ01;Alibori;BJ;Benin;23;Borgu Fulfulde;0,33965344;0;0,000627825;0;0;0;0;0,254834254;0;0,00075339;0,000878955;0,013121547;0,33965344;0;0;0;0,144337017;0;0;0,00050226;0,001318433;0;0;0;0,011175289;0,004959819;0;0,006843295;0,000627825;0;0,001883476;0,002322953;0,01268207;0;0;0,003955299;0;0;0;0;0,00050226;0;0;0;0,166373682;0;0;0;0;0;0;0;0;0;0,003641386;0;0;0;0;0,001569563;0;0;0;0;0;0;0;0,004583124;0,018897539;0,003955302;178030;88320;89710;0,28072636;0,318147647;0,244634571;Yes;High
BJ0104;Karimama;BJ01;Alibori;BJ;Benin;14;Dendi;0,617271157;0;0;0;0;0;0;0,000863558;0;0,000863558;0;0;0,174956823;0;0;0;0,617271157;0;0;0;0,000518135;0;0;0;0,002936097;0;0;0,001381693;0;0;0,078756477;0;0,05716753;0;0,000690846;0,002417962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001208981;0;0;0;0;0;0;0;0;0;0;0;0;0,001208981;0,057685665;0,002072543;65150;32640;32510;0,17991035;0,245835026;0,1136085;Yes;High
BJ0105;Malanville;BJ01;Alibori;BJ;Benin;29;Dendi;0,573096684;0;0,000733969;0;0,001134316;0;0;0,006605725;0,00060052;0;0;0;0,121638753;0;0;0;0,573096684;0;0;0,000733969;0,001401214;0;0;0;0,01381197;0,002001735;0;0;0,000667245;0,000733969;0;0,000867418;0,084139587;0;0;0,006739174;0;0,000667245;0,000800694;0;0,000800694;0;0,002268633;0;0,019950624;0;0;0;0;0,000667245;0,001467939;0;0,001401214;0;0,003603123;0;0,004337092;0;0;0;0;0;0;0;0,001534663;0;0,00193501;0,01454594;0,128911724;0,002201907;169750;85100;84650;0,241013009;0,285933661;0,195863559;Yes;High
BJ0106;Segbana;BJ01;Alibori;BJ;Benin;21;Boo;0,555285696;0;0,00140611;0;0;0;0;0,002684392;0;0;0;0,555285696;0,278026333;0;0;0;0,004090502;0,000639141;0;0,000511313;0,00281222;0;0;0;0,004346159;0,001917423;0,012527163;0,00140611;0;0;0;0;0,065959351;0;0;0,012399335;0;0,013933274;0,000639141;0;0,001022626;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002300908;0;0;0;0;0;0,000511313;0;0;0;0;0;0;0,002556564;0,032979676;0,002045251;90600;45520;45080;0,225840024;0,270062185;0,181248134;Yes;High
BJ0201;Boukoumbe;BJ02;Atacora;BJ;Benin;15;Ditammari;0,848560866;0;0;0;0;0;0;0;0;0,078426195;0;0;0,005809348;0;0;0;0,003696858;0,848560866;0;0;0;0;0;0;0,003168735;0,001452337;0,009638236;0;0;0,001452337;0;0;0;0;0;0,040797465;0;0;0;0;0;0,000528123;0;0;0;0;0,000792184;0;0;0;0;0;0;0;0,000924214;0;0,000924214;0;0;0;0;0;0;0;0;0;0;0,000528123;0,000528123;0,002772646;84140;40930;43210;0,319634703;0,393350063;0,250147842;Yes;High
BJ0202;Kerou;BJ02;Atacora;BJ;Benin;20;Baatonum;0,494052251;0;0,000667037;0;0;0;0;0,494052251;0;0;0;0;0,244691495;0;0;0,000889383;0,007670928;0,002001112;0;0;0;0;0;0,00155642;0,002445803;0;0;0,003001668;0;0;0,193329628;0;0,00155642;0;0,000889383;0,001778766;0;0;0;0;0,000667037;0;0;0;0;0;0,00155642;0;0;0;0;0;0;0;0,001334074;0;0,00077821;0;0;0;0;0;0;0;0;0;0,001889939;0,003557532;0,033240689;0,002445805;101510;50030;51480;0,214675722;0,2375;0,192739619;Yes;High
BJ0203;Cobly;BJ02;Atacora;BJ;Benin;15;Biali;0,527747552;0;0;0;0;0;0;0,000932691;0;0,527747552;0;0;0,056583243;0;0,001554485;0;0,003264418;0,14005907;0;0;0;0;0;0,000621794;0,003108969;0,000932691;0,153116742;0;0;0;0,078035131;0;0,000932691;0;0;0;0;0;0;0;0;0;0;0;0;0;0,028913415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000621794;0,000621794;0,002953517;72380;35260;37120;0,37690752;0,487523992;0,275229358;Yes;High
BJ0204;Kouande;BJ02;Atacora;BJ;Benin;22;Baatonum;0,433688871;0;0;0;0;0;0;0,433688871;0;0,000503119;0;0;0,239987925;0;0;0;0,012175488;0,066210505;0;0;0,002616221;0;0;0;0,001911853;0,002414973;0;0,000503119;0;0;0,003320588;0,001207486;0,000603743;0;0;0,02757094;0;0;0,005131817;0;0,000603743;0;0,008653653;0;0;0;0,072348561;0;0;0;0;0;0;0;0,000603743;0;0;0;0;0,076574764;0;0;0;0;0;0;0,036627088;0,001408734;0,003219963;0,002113103;110540;54830;55710;0,327606496;0,391789274;0,264472456;Yes;High
