admin1_code;admin1_name;admin0_code;admin0_name;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence
BJ01;Alibori;BJ;Benin;26;Baatonum;0,323;0,000;0,001;0,000;0,000;0,000;0,000;0,323;0,000;0,000;0,001;0,059;0,258;0,000;0,000;0,000;0,192;0,000;0,000;0,000;0,001;0,000;0,000;0,001;0,008;0,002;0,001;0,003;0,000;0,001;0,009;0,001;0,031;0,000;0,000;0,005;0,000;0,002;0,000;0,000;0,001;0,000;0,000;0,000;0,038;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,008;0,000;0,003;0,000;0,001;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,036;0,006;872 500;435 070;437 430;0,241;0,280;0,203;Yes;High
BJ02;Atacora;BJ;Benin;31;Biali;0,199;0,000;0,002;0,000;0,000;0,000;0,000;0,193;0,000;0,199;0,000;0,000;0,120;0,000;0,008;0,000;0,016;0,172;0,000;0,000;0,001;0,000;0,000;0,001;0,009;0,004;0,017;0,001;0,001;0,002;0,047;0,001;0,002;0,000;0,000;0,010;0,000;0,000;0,003;0,000;0,001;0,003;0,003;0,000;0,000;0,000;0,047;0,000;0,000;0,000;0,000;0,000;0,002;0,000;0,003;0,000;0,001;0,000;0,000;0,109;0,000;0,000;0,000;0,000;0,000;0,000;0,007;0,003;0,007;0,004;786 350;385 520;400 830;0,370;0,445;0,299;Yes;High
BJ03;Atlantique;BJ;Benin;32;Fon;0,454;0,000;0,038;0,000;0,001;0,000;0,238;0,003;0,000;0,001;0,000;0,000;0,001;0,000;0,000;0,000;0,005;0,001;0,000;0,001;0,007;0,002;0,001;0,000;0,454;0,012;0,000;0,000;0,029;0,001;0,000;0,015;0,001;0,000;0,000;0,000;0,007;0,000;0,001;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,025;0,000;0,000;0,000;0,000;0,011;0,000;0,001;0,072;0,017;0,000;0,002;0,004;0,006;0,000;0,020;0,000;0,000;0,007;0,001;0,006;1 417 420;699 260;718 160;0,653;0,756;0,555;Yes;High
BJ04;Borgou;BJ;Benin;36;Baatonum;0,346;0,000;0,005;0,000;0,001;0,000;0,000;0,346;0,000;0,023;0,001;0,023;0,321;0,000;0,000;0,001;0,047;0,025;0,000;0,001;0,009;0,000;0,000;0,001;0,037;0,006;0,000;0,009;0,002;0,001;0,009;0,003;0,004;0,000;0,001;0,003;0,000;0,001;0,015;0,000;0,004;0,010;0,002;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,004;0,000;0,043;0,000;0,001;0,000;0,000;0,003;0,000;0,000;0,000;0,000;0,000;0,000;0,012;0,007;0,007;0,005;1 228 980;611 910;617 070;0,417;0,470;0,365;Yes;High
BJ05;Collines;BJ;Benin;29;Maxi Gbe;0,240;0,000;0,012;0,000;0,000;0,000;0,000;0,004;0,000;0,011;0,000;0,000;0,052;0,000;0,000;0,000;0,003;0,012;0,000;0,064;0,164;0,002;0,000;0,000;0,144;0,001;0,000;0,000;0,002;0,001;0,001;0,001;0,004;0,156;0,001;0,006;0,000;0,000;0,006;0,000;0,240;0,000;0,002;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,081;0,000;0,002;0,000;0,000;0,002;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,004;0,002;0,007;717 580;355 000;362 580;0,549;0,642;0,461;Yes;High
BJ06;Couffo;BJ;Benin;12;Aja;0,892;0,000;0,892;0,000;0,000;0,000;0,002;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,082;0,001;0,000;0,000;0,003;0,000;0,000;0,001;0,001;0,000;0,000;0,000;0,004;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,004;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,003;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,004;747 530;347 990;399 540;0,515;0,649;0,402;Yes;High
BJ07;Donga;BJ;Benin;31;Yom;0,257;0,000;0,003;0,000;0,043;0,000;0,000;0,014;0,000;0,001;0,000;0,000;0,147;0,000;0,000;0,032;0,120;0,038;0,000;0,000;0,001;0,000;0,000;0,001;0,007;0,003;0,000;0,000;0,001;0,005;0,001;0,001;0,002;0,000;0,000;0,019;0,000;0,001;0,184;0,000;0,001;0,000;0,013;0,000;0,000;0,000;0,001;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,054;0,003;0,028;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,257;0,002;0,002;0,004;547 790;271 290;276 500;0,417;0,491;0,344;Yes;High
BJ08;Littoral;BJ;Benin;44;Fon;0,428;0,000;0,022;0,000;0,004;0,001;0,012;0,005;0,001;0,001;0,000;0,000;0,004;0,000;0,000;0,001;0,018;0,000;0,001;0,000;0,005;0,000;0,007;0,002;0,428;0,056;0,000;0,000;0,069;0,002;0,000;0,154;0,012;0,001;0,008;0,006;0,004;0,003;0,002;0,001;0,007;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,006;0,001;0,001;0,009;0,001;0,025;0,000;0,005;0,014;0,003;0,000;0,002;0,003;0,032;0,000;0,008;0,000;0,001;0,045;0,004;0,007;683 970;328 190;355 780;0,794;0,875;0,721;Yes;High
BJ09;Mono;BJ;Benin;19;Saxwe Gbe;0,395;0,000;0,079;0,000;0,000;0,000;0,013;0,000;0,000;0,000;0,000;0,000;0,002;0,000;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,002;0,036;0,003;0,000;0,000;0,076;0,000;0,000;0,007;0,002;0,000;0,000;0,000;0,215;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,395;0,000;0,000;0,000;0,000;0,001;0,000;0,000;0,001;0,000;0,000;0,082;0,000;0,027;0,000;0,052;0,000;0,000;0,001;0,001;0,006;506 620;246 530;260 090;0,635;0,755;0,522;Yes;High
BJ10;Oueme;BJ;Benin;32;Gun;0,387;0,000;0,006;0,000;0,001;0,000;0,004;0,001;0,000;0,000;0,000;0,000;0,001;0,000;0,000;0,008;0,002;0,000;0,000;0,000;0,001;0,001;0,002;0,000;0,057;0,013;0,000;0,000;0,009;0,000;0,000;0,387;0,002;0,000;0,001;0,001;0,001;0,001;0,000;0,000;0,002;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,017;0,001;0,000;0,015;0,000;0,001;0,002;0,152;0,000;0,000;0,192;0,040;0,000;0,001;0,000;0,000;0,072;0,001;0,005;1 103 370;536 610;566 760;0,640;0,746;0,542;Yes;High
