admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Aguna,Aja,Akan,Anii,Arabic,Ayizo Gbe,Baatonum,Bambara,Biali,Boko,Boo,Borgu Fulfulde,Bozo,Contimba,Defi Gbe,Dendi,Ditammari,Dyula,Ede Cabe,Ede Idaca,Ede Ije,English,Ewe,Fon,French,Gagamba,Gando,Gen,Gorgal Fulfulde,Gourmanchéma,Gun,Hausa,Ifè,Igbo,Kabiye,Kotafon Gbe,Kotokoli,Lekpa,Lingala,Maxi Gbe,Mbelime,Mioybe,Mobaa,Mokole,Mossi,Nateni,Northern Nago,Partago,Saxwe Gbe,Senufo,Seto Gbe,Songhay,Soninke,Southern Nago,Taneka,Tem,Tofin Gbe,Toli Gbe,Waama,Waci Gbe,Weme Gbe,Western Xwla Gbe,Wolof,Xwela Gbe,Yoabu,Yom,Yoruba,Zarma,Other,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#admin1+name,#admin1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+lang+pct+iso639_3+agu,#indicator+lang+pct+iso639_3+ajg,#indicator+lang+pct+iso639_3+aka,#indicator+lang+pct+iso639_3+blo,#indicator+lang+pct+iso639_3+ara,#indicator+lang+pct+iso639_3+ayz,#indicator+lang+pct+iso639_3+bba,#indicator+lang+pct+iso639_3+bam,#indicator+lang+pct+iso639_3+beh,#indicator+lang+pct+iso639_3+bqc,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+fue,#indicator+lang+pct+iso639_3+bzx,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+gbh,#indicator+lang+pct+iso639_3+ddn,#indicator+lang+pct+iso639_3+tbz,#indicator+lang+pct+iso639_3+dyu,#indicator+lang+pct+iso639_3+cbj,#indicator+lang+pct+iso639_3+idd,#indicator+lang+pct+iso639_3+ijj,#indicator+lang+pct+iso639_3+eng,#indicator+lang+pct+iso639_3+ewe,#indicator+lang+pct+iso639_3+fon,#indicator+lang+pct+iso639_3+fra,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+gej,#indicator+lang+pct+iso639_3+fuh,#indicator+lang+pct+iso639_3+gux,#indicator+lang+pct+iso639_3+guw,#indicator+lang+pct+iso639_3+hau,#indicator+lang+pct+iso639_3+ife,#indicator+lang+pct+iso639_3+ibo,#indicator+lang+pct+iso639_3+kbp,#indicator+lang+pct+iso639_3+kqk,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+lin,#indicator+lang+pct+iso639_3+mxl,#indicator+lang+pct+iso639_3+mql,#indicator+lang+pct+iso639_3+soy,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+mkl,#indicator+lang+pct+iso639_3+mos,#indicator+lang+pct+iso639_3+ntm,#indicator+lang+pct+iso639_3+xkb,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+sxw,#indicator+lang+pct+iso639_3+sen,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+son,#indicator+lang+pct+iso639_3+snk,#indicator+lang+pct+iso639_3+nqg,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+kdh,#indicator+lang+pct+iso639_3+tfi,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+wwa,#indicator+lang+pct+iso639_3+wci,#indicator+lang+pct+iso639_3+wem,#indicator+lang+pct+iso639_3+xwl,#indicator+lang+pct+iso639_3+wol,#indicator+lang+pct+iso639_3+xwe,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639_3+pil,#indicator+lang+pct+iso639_3+yor,#indicator+lang+pct+iso639_3+unknown,#indicator+lang+pct+iso639 3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age12up,#population+m+pct+literate+age12up,#population+f+pct+literate+age12up,#meta+data+bool,#meta+confidence,#meta+text
Alibori,204001,Benin,BJ,26,Baatonum,0.323,0.000,0.001,0.000,0.000,0.000,0.000,0.323,0.000,0.000,0.001,0.059,0.258,0.000,0.000,0.000,0.192,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.008,0.002,0.001,0.003,0.000,0.001,0.009,0.001,0.031,0.000,0.000,0.005,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.003,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.036,0.006,"872,500","435,070","437,430",0.241,0.280,0.203,Yes,High,
Atacora,204002,Benin,BJ,31,Biali,0.199,0.000,0.002,0.000,0.000,0.000,0.000,0.193,0.000,0.199,0.000,0.000,0.120,0.000,0.008,0.000,0.016,0.172,0.000,0.000,0.001,0.000,0.000,0.001,0.009,0.004,0.017,0.001,0.001,0.002,0.047,0.001,0.002,0.000,0.000,0.010,0.000,0.000,0.003,0.000,0.001,0.003,0.003,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.001,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.003,0.007,0.004,"786,350","385,520","400,830",0.370,0.445,0.299,Yes,High,
Atlantique,204003,Benin,BJ,32,Fon,0.454,0.000,0.038,0.000,0.001,0.000,0.238,0.003,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.005,0.001,0.000,0.001,0.007,0.002,0.001,0.000,0.454,0.012,0.000,0.000,0.029,0.001,0.000,0.015,0.001,0.000,0.000,0.000,0.007,0.000,0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.000,0.011,0.000,0.001,0.072,0.017,0.000,0.002,0.004,0.006,0.000,0.020,0.000,0.000,0.007,0.001,0.006,"1,417,420","699,260","718,160",0.653,0.756,0.555,Yes,High,
Borgou,204004,Benin,BJ,36,Baatonum,0.346,0.000,0.005,0.000,0.001,0.000,0.000,0.346,0.000,0.023,0.001,0.023,0.321,0.000,0.000,0.001,0.047,0.025,0.000,0.001,0.009,0.000,0.000,0.001,0.037,0.006,0.000,0.009,0.002,0.001,0.009,0.003,0.004,0.000,0.001,0.003,0.000,0.001,0.015,0.000,0.004,0.010,0.002,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.043,0.000,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.007,0.007,0.005,"1,228,980","611,910","617,070",0.417,0.470,0.365,Yes,High,
Collines,204005,Benin,BJ,29,Maxi Gbe,0.240,0.000,0.012,0.000,0.000,0.000,0.000,0.004,0.000,0.011,0.000,0.000,0.052,0.000,0.000,0.000,0.003,0.012,0.000,0.064,0.164,0.002,0.000,0.000,0.144,0.001,0.000,0.000,0.002,0.001,0.001,0.001,0.004,0.156,0.001,0.006,0.000,0.000,0.006,0.000,0.240,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.081,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.004,0.002,0.007,"717,580","355,000","362,580",0.549,0.642,0.461,Yes,High,
Couffo,204006,Benin,BJ,12,Aja,0.892,0.000,0.892,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.001,0.000,0.000,0.003,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.004,"747,530","347,990","399,540",0.515,0.649,0.402,Yes,High,
Donga,204007,Benin,BJ,31,Yom,0.257,0.000,0.003,0.000,0.043,0.000,0.000,0.014,0.000,0.001,0.000,0.000,0.147,0.000,0.000,0.032,0.120,0.038,0.000,0.000,0.001,0.000,0.000,0.001,0.007,0.003,0.000,0.000,0.001,0.005,0.001,0.001,0.002,0.000,0.000,0.019,0.000,0.001,0.184,0.000,0.001,0.000,0.013,0.000,0.000,0.000,0.001,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.054,0.003,0.028,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.002,0.002,0.004,"547,790","271,290","276,500",0.417,0.491,0.344,Yes,High,
Littoral,204008,Benin,BJ,44,Fon,0.428,0.000,0.022,0.000,0.004,0.001,0.012,0.005,0.001,0.001,0.000,0.000,0.004,0.000,0.000,0.001,0.018,0.000,0.001,0.000,0.005,0.000,0.007,0.002,0.428,0.056,0.000,0.000,0.069,0.002,0.000,0.154,0.012,0.001,0.008,0.006,0.004,0.003,0.002,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.001,0.009,0.001,0.025,0.000,0.005,0.014,0.003,0.000,0.002,0.003,0.032,0.000,0.008,0.000,0.001,0.045,0.004,0.007,"683,970","328,190","355,780",0.794,0.875,0.721,Yes,High,
Mono,204009,Benin,BJ,19,Saxwe Gbe,0.395,0.000,0.079,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.036,0.003,0.000,0.000,0.076,0.000,0.000,0.007,0.002,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.082,0.000,0.027,0.000,0.052,0.000,0.000,0.001,0.001,0.006,"506,620","246,530","260,090",0.635,0.755,0.522,Yes,High,
