admin2Pcode;admin2_name;admin1Pcode;admin1_name;admin0Pcode;admin0_name;number_of_named_languages;main_language;main_language_share;Aguna;Aja;Akan;Anii;Arabic;Ayizo Gbe;Baatonum;Bambara;Biali;Boko;Boo;Borgu Fulfulde;Bozo;Contimba;Defi Gbe;Dendi;Ditammari;Dyula;Ede Cabe;Ede Idaca;Ede Ije;English;Ewe;Fon;French;Gagamba;Gando;Gen;Gorgal Fulfulde;Gourmanchéma;Gun;Hausa;Ifè;Igbo;Kabiye;Kotafon Gbe;Kotokoli;Lekpa;Lingala;Maxi Gbe;Mbelime;Mioybe;Mobaa;Mokole;Mossi;Nateni;Northern Nago;Partago;Saxwe Gbe;Senufo;Seto Gbe;Songhay;Soninke;Southern Nago;Taneka;Tem;Tofin Gbe;Toli Gbe;Waama;Waci Gbe;Weme Gbe;Western Xwla Gbe;Wolof;Xwela Gbe;Yoabu;Yom;Yoruba;Zarma;Other;pop_total;pop_male;pop_female;literacy_all;literacy_male;literacy_female;language_data_yn;data_confidence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0101;Banikorara;BJ01;Alibori;BJ;Benin;18;Baatonum;0;695;0;0;1;0;0;0;0;0;695;0;0;1;0;0;0;231;0;0;0;1;0;13;0;0;0;0;1;0;0;0;5;0;7;0;0;0;2;0;0;0;9;0;0;2;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;16;0;4;249;96;124;97;124;99;0;241;0;28;0;202;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0102;Gogounou;BJ01;Alibori;BJ;Benin;21;Baatonum;0;5;0;0;1;0;0;0;0;0;5;0;0;0;7;0;2;0;423;0;0;0;0;6;0;0;0;0;1;0;0;0;0;4;0;1;0;0;4;0;1;0;0;3;0;0;4;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;22;0;3;119;1;58;52;60;49;0;227;0;24;0;214;Yes;High;;;;;;;;;;;;;;;;;;;;;;
BJ0103;Kandi;BJ01;Alibori;BJ;Benin;23;Borgu Fulfulde;0;34;0;0;1;0;0;0;0;0;255;0;0;1;0;1;0;13;0;34;0;0;0;0;144;0;0;0;1;0;1;0;0;0;0;11;0;5;0;0;7;0;1;0;0;2;0;2;0;13;0;0;0;4;0;0;0;0;0;1;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;19;0;4;178;3;88;32;89;71;0;281;0;318;0;245;Yes;High;;;;;;;;;;;;;;;;;;;;
BJ0104;Karimama;BJ01;Alibori;BJ;Benin;14;Dendi;0;617;0;0;0;0;0;0;0;1;0;0;1;0;0;0;175;0;0;0;0;617;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;79;0;0;57;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;58;0;2;65;15;32;64;32;51;0;18;0;246;0;114;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0105;Malanville;BJ01;Alibori;BJ;Benin;29;Dendi;0;573;0;0;1;0;0;1;0;0;0;7;0;1;0;0;0;0;122;0;0;0;0;573;0;0;0;1;0;1;0;0;0;0;14;0;2;0;0;0;1;0;1;0;0;1;0;84;0;0;0;7;0;0;1;0;1;0;0;1;0;0;2;0;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;4;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;15;0;129;0;2;169;75;85;1;84;65;0;241;0;286;0;196;Yes;High;;;;;;;;;;;;;;
BJ0106;Segbana;BJ01;Alibori;BJ;Benin;21;Boo;0;555;0;0;1;0;0;0;0;0;3;0;0;0;0;555;0;278;0;0;0;0;4;0;1;0;0;1;0;3;0;0;0;0;4;0;2;0;13;0;1;0;0;0;0;0;66;0;0;0;12;0;0;14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;33;0;2;90;6;45;52;45;8;0;226;0;27;0;181;Yes;High;;;;;;;;;;;;;;;;;;;;;;
BJ0201;Boukoumbe;BJ02;Atacora;BJ;Benin;15;Ditammari;0;849;0;0;0;0;0;0;0;0;0;78;0;0;0;6;0;0;0;0;4;0;849;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;1;0;0;0;0;0;0;41;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;84;14;40;93;43;21;0;32;0;393;0;25;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0202;Kerou;BJ02;Atacora;BJ;Benin;20;Baatonum;0;494;0;0;1;0;0;0;0;0;494;0;0;0;0;0;245;0;0;0;1;0;8;0;2;0;0;0;0;0;0;2;0;2;0;0;0;3;0;0;0;193;0;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;4;0;33;0;2;101;51;50;3;51;48;0;215;0;238;0;193;Yes;High;;;;;;;;;;;;;;;;;;;;;;;
BJ0203;Kobli;BJ02;Atacora;BJ;Benin;15;Biali;0;528;0;0;0;0;0;0;0;1;0;0;528;0;0;0;57;0;0;2;0;0;3;0;14;0;0;0;0;0;0;1;0;3;0;1;0;153;0;0;0;0;78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;72;38;35;26;37;12;0;377;0;488;0;275;Yes;High;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ0204;Kouande;BJ02;Atacora;BJ;Benin;22;Baatonum;0;434;0;0;0;0;0;0;0;434;0;0;1;0;0;0;24;0;0;0;0;12;0;66;0;0;0;3;0;0;0;0;2;0;2;0;0;1;0;0;0;3;0;1;0;1;0;0;0;28;0;0;0;5;0;0;1;0;0;9;0;0;0;0;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;77;0;0;0;0;0;0;0;37;0;1;0;3;0;2;110;54;54;83;55;71;0;328;0;392;0;264;Yes;High;;;;;;;;;;;;;;;;;;;;;
