"code_i";"name_i";"code_j";"name_j";"Fij"
"BJ01";"ALIBORI";"BJ01";"ALIBORI";814089
"BJ02";"ATACORA";"BJ01";"ALIBORI";1319
"BJ03";"ATLANTIQUE";"BJ01";"ALIBORI";485
"BJ04";"BORGOU";"BJ01";"ALIBORI";5125
"BJ05";"COLLINES";"BJ01";"ALIBORI";1478
"BJ06";"COUFFO";"BJ01";"ALIBORI";314
"BJ07";"DONGA";"BJ01";"ALIBORI";1157
"BJ08";"LITTORAL";"BJ01";"ALIBORI";1336
"BJ09";"MONO";"BJ01";"ALIBORI";207
"BJ10";"OUEME";"BJ01";"ALIBORI";575
"BJ11";"PLATEAU";"BJ01";"ALIBORI";202
"BJ12";"ZOU";"BJ01";"ALIBORI";783
"BJ01";"ALIBORI";"BJ02";"ATACORA";3246
"BJ02";"ATACORA";"BJ02";"ATACORA";722704
"BJ03";"ATLANTIQUE";"BJ02";"ATACORA";1008
"BJ04";"BORGOU";"BJ02";"ATACORA";8944
"BJ05";"COLLINES";"BJ02";"ATACORA";2705
"BJ06";"COUFFO";"BJ02";"ATACORA";461
"BJ07";"DONGA";"BJ02";"ATACORA";4199
"BJ08";"LITTORAL";"BJ02";"ATACORA";3136
"BJ09";"MONO";"BJ02";"ATACORA";411
"BJ10";"OUEME";"BJ02";"ATACORA";955
"BJ11";"PLATEAU";"BJ02";"ATACORA";204
"BJ12";"ZOU";"BJ02";"ATACORA";984
"BJ01";"ALIBORI";"BJ03";"ATLANTIQUE";1880
"BJ02";"ATACORA";"BJ03";"ATLANTIQUE";3783
"BJ03";"ATLANTIQUE";"BJ03";"ATLANTIQUE";1003857
"BJ04";"BORGOU";"BJ03";"ATLANTIQUE";8554
"BJ05";"COLLINES";"BJ03";"ATLANTIQUE";14181
"BJ06";"COUFFO";"BJ03";"ATLANTIQUE";15291
"BJ07";"DONGA";"BJ03";"ATLANTIQUE";3353
"BJ08";"LITTORAL";"BJ03";"ATLANTIQUE";232386
"BJ09";"MONO";"BJ03";"ATLANTIQUE";21685
"BJ10";"OUEME";"BJ03";"ATLANTIQUE";17496
"BJ11";"PLATEAU";"BJ03";"ATLANTIQUE";3454
"BJ12";"ZOU";"BJ03";"ATLANTIQUE";30066
"BJ01";"ALIBORI";"BJ04";"BORGOU";15174
"BJ02";"ATACORA";"BJ04";"BORGOU";36289
"BJ03";"ATLANTIQUE";"BJ04";"BORGOU";2782
"BJ04";"BORGOU";"BJ04";"BORGOU";1055450
"BJ05";"COLLINES";"BJ04";"BORGOU";17791
"BJ06";"COUFFO";"BJ04";"BORGOU";2694
"BJ07";"DONGA";"BJ04";"BORGOU";17894
"BJ08";"LITTORAL";"BJ04";"BORGOU";11456
"BJ09";"MONO";"BJ04";"BORGOU";1663
"BJ10";"OUEME";"BJ04";"BORGOU";4009
"BJ11";"PLATEAU";"BJ04";"BORGOU";691
"BJ12";"ZOU";"BJ04";"BORGOU";6957
"BJ01";"ALIBORI";"BJ05";"COLLINES";1881
"BJ02";"ATACORA";"BJ05";"COLLINES";6947
"BJ03";"ATLANTIQUE";"BJ05";"COLLINES";2684
"BJ04";"BORGOU";"BJ05";"COLLINES";9761
"BJ05";"COLLINES";"BJ05";"COLLINES";604630
"BJ06";"COUFFO";"BJ05";"COLLINES";4375
"BJ07";"DONGA";"BJ05";"COLLINES";6860
"BJ08";"LITTORAL";"BJ05";"COLLINES";10396
"BJ09";"MONO";"BJ05";"COLLINES";1412
"BJ10";"OUEME";"BJ05";"COLLINES";1822
"BJ11";"PLATEAU";"BJ05";"COLLINES";1606
"BJ12";"ZOU";"BJ05";"COLLINES";28729
"BJ01";"ALIBORI";"BJ06";"COUFFO";157
"BJ02";"ATACORA";"BJ06";"COUFFO";276
"BJ03";"ATLANTIQUE";"BJ06";"COUFFO";1669
"BJ04";"BORGOU";"BJ06";"COUFFO";762
"BJ05";"COLLINES";"BJ06";"COUFFO";1000
"BJ06";"COUFFO";"BJ06";"COUFFO";709699
"BJ07";"DONGA";"BJ06";"COUFFO";160
"BJ08";"LITTORAL";"BJ06";"COUFFO";5370
"BJ09";"MONO";"BJ06";"COUFFO";4178
"BJ10";"OUEME";"BJ06";"COUFFO";1234
"BJ11";"PLATEAU";"BJ06";"COUFFO";607
"BJ12";"ZOU";"BJ06";"COUFFO";3517
"BJ01";"ALIBORI";"BJ07";"DONGA";1432
"BJ02";"ATACORA";"BJ07";"DONGA";6880
"BJ03";"ATLANTIQUE";"BJ07";"DONGA";526
